S_SUPPKEY	S_NAME	S_ADDRESS	S_NATIONKEY	S_PHONE	S_ACCTBAL	S_COMMENT
16	Supplier#000000016       	YjP5C55zHDXL7LalK27zfQnwejdpin4AMpvh	22	32-822-502-4215	2972.26	quick, final pains above the ironic, final instructions use furio
17	Supplier#000000017       	c2d,ESHRSkK3WYnxpgw6aOqN0q	19	29-601-884-9219	1687.81	slyly pending deposits boost quickly.
18	Supplier#000000018       	PGGVE5PWAMwKDZw 	16	26-729-551-1115	7040.82	carefully pending deposits haggle regular the
19	Supplier#000000019       	edZT3es,nBFD8lBXTGeTl	24	34-278-310-2731	6150.38	quickly regular pinto beans mold blithely slyly pending packages. unusual platelets are furiou
20	Supplier#000000020       	iybAE,RmTymrZVYaFZva2SH,j	3	13-715-945-6730	530.82	finally regular asymptotes play furiously among the carefully special warhorses. slyly
21	Supplier#000000021       	81CavellcrJ0PQ3CPBID0Z0JwyJm0ka5igEs	2	12-253-590-5816	9365.8	bravely ironic Tiresias run carefully. regular deposits integrate with the fluffily even f
22	Supplier#000000022       	okiiQFk 8lm6EVX6Q0,bEcO	4	14-144-830-2814	-966.2	slyly special waters wake fluffily along the unusual package
23	Supplier#000000023       	ssetugTcXc096qlD7 2TL5crEEeS3zk	9	19-559-422-5776	5926.41	carefully special requests haggle. furiously busy theodolites haggle b
24	Supplier#000000024       	C4nPvLrVmKPPabFCj	0	10-620-939-2254	9170.71	quietly even theodolites alongside of the blithely special pin
25	Supplier#000000025       	RCQKONXMFnrodzz6w7fObFVV6CUm2q	22	32-431-945-3541	9198.31	even excuses wake about the carefully special packa
26	Supplier#000000026       	iV,MHzAx6Z939uzFNkq09M0a1 MBfH7	21	31-758-894-4436	21.18	slyly unusual pinto beans sleep carefully alongside of the furiously sly frets. regular, regula
27	Supplier#000000027       	lC4CjKwNHUr6L4xIpzOBK4NlHkFTg	18	28-708-999-2028	1887.62	furiously thin packages use 
28	Supplier#000000028       	GBhvoRh,7YIN V	0	10-538-384-8460	-891.99	regular, regular excuses boost quickl
29	Supplier#000000029       	658tEqXLPvRd6xpFdqC2	1	11-555-705-5922	-811.62	blithely pending theodolites are carefully ironic requests! fluffily express instructions ab
30	Supplier#000000030       	84NmC1rmQfO0fj3zkobLT	16	26-940-594-4852	8080.14	express, bold deposits sleep according to th
31	Supplier#000000031       	fRJimA7zchyApqRLHcQeocVpP	16	26-515-530-4159	5916.91	blithely bold deposits boost fluffily slyly final
32	Supplier#000000032       	yvoD3TtZSx1skQNCK8agk5bZlZLug	23	33-484-637-7873	3556.47	furiously thin asymptotes are a
33	Supplier#000000033       	gfeKpYw3400L0SDywXA6Ya1Qmq1w6YB9f3R	7	17-138-897-9374	8564.12	ironic instructions are. special pearls above 
34	Supplier#000000034       	mYRe3KvA2O4lL4HhxDKkkrPUDPMKRCSp,Xpa	10	20-519-982-2343	237.31	asymptotes are. special, ironic ideas on the close
35	Supplier#000000035       	QymmGXxjVVQ5OuABCXVVsu,4eF gU0Qc6	21	31-720-790-5245	4381.41	slyly bold pinto beans wake. dependencies nag furiously according to the asymptotes. car
36	Supplier#000000036       	mzSpBBJvbjdx3UKTW3bLFewRD78D91lAC879	13	23-273-493-3679	2371.51	slyly special braids among the regular, blithe p
37	Supplier#000000037       	cqjyB5h1nV	0	10-470-144-1330	3017.47	ironic requests alongside of the blithely express accounts wake fluffily above the carefully express
38	Supplier#000000038       	xEcx45vD0FXHT7c9mvWFY	4	14-361-296-6426	2512.41	blithely bold excuses haggle ironic, pending excuses. carefully bold deposits wake blithel
39	Supplier#000000039       	ZM, nSYpEPWr1yAFHaC91qjFcijjeU5eH	8	18-851-856-5633	6115.65	ironic, express instructions can sleep bl
40	Supplier#000000040       	zyIeWzbbpkTV37vm1nmSGBxSgd2Kp	22	32-231-247-6991	-290.06	carefully regular accounts sleep ca
41	Supplier#000000041       	G 1FKHR435 wMKFmyt	18	28-739-447-2525	6942.67	silently regular packages hinder. blithely express decoys must 
42	Supplier#000000042       	1Y5lwEgpe3j2vbUBYj3SwLhK62JlwEMtDC	22	32-698-298-6317	6565.11	carefully thin courts against the final, regular accounts ar
43	Supplier#000000043       	Z5mLuAoTUEeKY5v22VnnA4D87Ao6jF2LvMYnlX8h	12	22-421-568-4862	7773.41	slyly final accounts wake blithely slyly regular requests. sl
44	Supplier#000000044       	kERxlLDnlIZJdN66zAPHklyL	7	17-713-930-5667	9759.38	quickly final instructions after the bold requests hagg
45	Supplier#000000045       	LcKnsa8XGtIO0WYSB7hkOrH rnzRg1	9	19-189-635-8862	2944.23	furiously bold deposits use expres
46	Supplier#000000046       	e0URUXfDOYMdKe16Z5h5StMRbzGmTs,D2cjap	24	34-748-308-3215	3580.35	slyly express dependencies behind the blithely silent platelets use 
47	Supplier#000000047       	3XM1x,Pcxqw,HK4XNlgbnZMbLhBHLA	14	24-810-354-4471	2958.09	regular deposits engage slyly with the
48	Supplier#000000048       	jg0U FNPMQDuyuKvTnLXXaLf3Wl6OtONA6mQlWJ	14	24-722-551-9498	5630.62	carefully unusual packages print 
49	Supplier#000000049       	Nvq 6macF4GtJvz	24	34-211-567-6800	9915.24	blithely silent pinto beans hang slyly. blithely eve
50	Supplier#000000050       	rGobqSMMYz0ErrPhCGS	9	19-561-560-7437	4515.87	quickly regular theodolites wake within the slyly even accounts. furiously express accounts
51	Supplier#000000051       	rDkBXb01POIKjOwrij62uM8O4	9	19-475-537-1368	7241.4	instructions wake ironically even excuses? quickly ironic excuses wake slyly! carefully regular pla
52	Supplier#000000052       	WCk XCHYzBA1dvJDSol4ZJQQcQN,	19	29-974-934-4713	287.16	ironic accounts are slyly above the foxes. regular courts use furiously! slyly pending deposi
53	Supplier#000000053       	i9v3 EsYCfLKFU6PIt8iihBOHBB37yR7b3GD7Rt	7	17-886-101-6083	6177.35	ideas since the furiously ironic deposits sleep furiously pinto beans. always unu
54	Supplier#000000054       	J1s,Wxb5pg	12	22-966-435-7200	2733.69	blithely regular ideas was quickly. requests are. blithely regular packages along the silent 
55	Supplier#000000055       	OqdYSiOQeG4eGi636Tj	24	34-876-912-6007	7162.15	special, express deposits against the bold, fluffy pinto beans are even, re
56	Supplier#000000056       	fUVtlUVal GiHBOuYoUQ XQ9NfNLQR3Gl	16	26-471-195-5486	-632.16	silent gifts wake stealthily carefully pending d
57	Supplier#000000057       	bEWqUVRR f0mb2o18Y	17	27-681-514-6892	-831.07	pending accounts boost bl
58	Supplier#000000058       	01dEADIZoCULZXg	16	26-659-969-5586	92.44	unusual requests are blithely. slyly final packages are carefully. busy, final multipliers x-ray
59	Supplier#000000059       	N8lKbYjMnVlEHmTPRmBgtLiX8rrJx	17	27-249-395-9123	586.16	carefully ironic deposits detect carefully along the final packages. foxes 
60	Supplier#000000060       	cb08ntDTARo47WmnBcYXu	8	18-550-360-2464	4515.8	slyly regular accounts are final packages. quickly regular ideas hang carefully 
61	Supplier#000000061       	Oz0M1qBR9I	8	18-396-489-9719	6096.58	quickly pending pinto beans above the slyly bold instruction
62	Supplier#000000062       	bSmlFYUKBeRsqJxwC9 zS6xpFdEf5jNTb	19	29-603-653-2494	9202.57	final deposits affix ironic dependencies? pending packages grow furiously after the carefully
63	Supplier#000000063       	NlV0OQyIoPvPkw5AYuWGomX,hgqm1	5	15-781-401-3047	5742.03	furiously express requests use. bold 
64	Supplier#000000064       	w80JjnIP lGoLdUjRutbv81gGlqqpW4PQBeOtSYU	24	34-278-790-7004	1309.7	fluffily even instructions cajole accounts
65	Supplier#000000065       	BsAnHUmSFArppKrM	22	32-444-835-2434	-963.79	regular, regular theodolites wake
66	Supplier#000000066       	qYdruFJQJYYiKvnNVmYfCVydVB8bcW,AW,U6SOV3	23	33-300-836-9529	2455.98	quickly silent excuses about the even hockey players integrate
67	Supplier#000000067       	7YrEKJncHFk5D W7ZaqfAXV	4	14-563-538-1657	3576.55	silent, even accounts among the bold, pending packages 
68	Supplier#000000068       	Ue6N50wH2CwE4PPgTGLmat,ibGYYlDoOb3xQwtgb	21	31-267-327-4328	5119.38	furiously regular deposits wake fluffily requests. always unusual requests need to are. bold acco
69	Supplier#000000069       	T2Dl9,f97e333eRuMi2z 	4	14-491-707-8310	8466.5	ironic, ironic requests cajole blithely express accoun
70	Supplier#000000070       	INWNH2w,OOWgNDq0BRCcBwOMQc6PdFDc4	6	16-821-608-1166	9508.37	accounts use. busily even theodolites are blithely. slyly
71	Supplier#000000071       	YFo8an7P6wi Q	1	11-743-919-7272	8179.68	ironic requests after the regular, bold
72	Supplier#000000072       	mKpAJojtawk2alqV4 ZEbJ3PH3wfYqy AM8rGq1	18	28-113-898-6643	7014.5	quickly even platelets haggle alongside of the furiously express pa
73	Supplier#000000073       	HBZA1NHvrswQCxTTjg 5XrfSOGgMRKNCe2ovE	16	26-758-310-7496	3793.13	carefully even foxes cajole 
74	Supplier#000000074       	uM3yV5NOc6b5wNdpxF69CW 8QvDxqvKubRJtA	20	30-166-486-1559	4170.51	furiously regular depths affix carefully deposits. gifts are according to the furiously regular requ
75	Supplier#000000075       	7f3gN4rP1livII	18	28-716-704-8686	-224.84	packages cajole. fluffily ironic dolphins wake furiously after the even multiplier
76	Supplier#000000076       	JBhSBa3cLYvNgHUYtUHmtECCD	14	24-228-763-7840	2971.1	blithely silent packages nag carefully furiously regu
77	Supplier#000000077       	wVtcr0uH3CyrSiWMLsqnB09Syo,UuZxPMeBghlY	7	17-281-345-4863	4186.95	blithely pending accounts ru
78	Supplier#000000078       	9y3OZ2CV hGrsrQxzB7V3zTtygHVHlG3SD6yrz	5	15-670-998-6860	1044.1	requests about the packages wake 
79	Supplier#000000079       	p0u3tztSXUD2J8vFfLNFNKsrRRv7qyUtTBTA	14	24-402-227-9600	1191.94	deposits hinder. packages wake quickly even, bold accounts. furiou
80	Supplier#000000080       	cJ2MHSEJ13rIL2Wj3D5i6hRo30,ZiNUXhqn	21	31-646-289-1906	-40.45	slyly regular depths eat furiously. carefully even ideas are quickly aga
81	Supplier#000000081       	SLlacbhgpKmVa,gF3saYv12e0	12	22-535-310-6971	166.32	final, final platelets nag
82	Supplier#000000082       	WyTKA7ZpF15t1aCNlT3	18	28-177-572-9691	-724.31	fluffily special foxes nag boldly u
83	Supplier#000000083       	WRJUkzCn050seVz57oAfrbCuw	14	24-529-559-2461	1467.77	dependencies according to the fluf
84	Supplier#000000084       	DcYjWMiZGQqEKOJi4wAmIV08ikx	24	34-869-118-7803	4780.93	accounts haggle. slyly final requests wake sometimes carefully unusual dolphin
85	Supplier#000000085       	Ckls9RtlzKSF	7	17-167-806-8199	7174.74	furiously silent warthogs unwind. furiously un
86	Supplier#000000086       	J1fgg5QaqnN	19	29-903-665-7065	1883.37	slyly pending requests wake car
87	Supplier#000000087       	WCw7URDj8zoZ7tqC3cpm7	24	34-860-229-1674	4746.66	pending, even requests haggle slyly slyly spe
88	Supplier#000000088       	yOshY8wwzMgS	11	21-191-938-9469	3086.13	foxes among the furiously re
89	Supplier#000000089       	fhtzZcSorhud1	9	19-259-876-1014	1638.02	bold, even instructions print carefully even courts. ironic,
90	Supplier#000000090       	bPE6Uhz1f2m3gwSGMrnRt,g,3gq37r5kxgphqss1	6	16-380-123-9217	6201.77	carefully regular platelets boost slyly bold foxes. even pint
91	Supplier#000000091       	YV45D7TkfdQanOOZ7q9QxkyGUapU1oOWU6q3	3	13-604-986-9056	6255.87	carefully ironic packages impress across the slyly express accounts: ironic theodo
92	Supplier#000000092       	n48Wy4QI3lml8T217rk	2	12-701-432-8346	2470.84	instructions sublate fluffily fluffily bold platelets. deposits impress quickly slyly even 
93	Supplier#000000093       	wd1djjKXT,4zBm	16	26-528-528-1157	368.76	carefully express pinto beans use slyly. slyly fina
94	Supplier#000000094       	lK,pLPjAMVGJOXN80zPZuNQjpChliE	4	14-728-888-8882	2766.8	ironic packages breach. carefully pending accou
95	Supplier#000000095       	p2 2hBfH5TD	19	29-142-539-1403	2588.83	bold instructions are along the carefully final re
96	Supplier#000000096       	Lbxp3WIipye o2wZme1i9iJx,xTt1Mp	12	22-888-654-7193	3437.24	evenly final excuses are fluffily slyly silent theodolites. quickly final 
97	Supplier#000000097       	MrCQha2G6ndX1fp6CA	4	14-618-678-1789	6642.22	unusual platelets cajole carefully. quickly even packages use furiously. speci
98	Supplier#000000098       	ogHn8dpXB5Q	21	31-914-775-1978	5873.07	slyly regular requests mold slyly regular depo
99	Supplier#000000099       	4SxkTHG28nZrtT0,MnVF9H	18	28-272-909-1617	3671.34	fluffily final packages haggle carefully ab
100	Supplier#000000100       	rIlN li8zvW22l2slbcx ECP4fL	21	31-351-324-5062	3191.7	carefully ironic forges nag carefully blithely express de
101	Supplier#000000101       	8KUTzVw32Pw3PD7 h,YJ0ysOoBtz9JfZI	11	21-970-795-5691	4901.77	carefully even theodolites cajole dogged water
102	Supplier#000000102       	pDmsZ3V8W7NR1wW	8	18-884-693-5785	2980.07	even braids according to the furiously unusual deposits detect carefully about the qui
103	Supplier#000000103       	hBpQ4GYblzpHKTgATLPAS6ph3	2	12-442-523-5043	1050.66	carefully special requests 
104	Supplier#000000104       	Dcl4yGrzqv3OPeRO49bKh78XmQEDR7PBXIs0m	6	16-434-972-6922	1381.97	carefully silent requests sleep slowly bol
105	Supplier#000000105       	cB YSy5Bla	4	14-951-800-2742	3754.75	fluffily unusual dinos should have to sleep carefully about the idly final courts. carefu
106	Supplier#000000106       	50EV3vyfAsWJAjTbT4qwU	21	31-810-990-4600	8091.65	blithely regular deposits detect around the blithely express sentiments. regular packa
107	Supplier#000000107       	fqniA2vC1VZU5DZG2TBiN	16	26-958-723-2164	1378.93	quickly busy theodolites h
108	Supplier#000000108       	eL47lfhfMP7zRw	24	34-341-415-7878	7683.71	ironic, even theodolites use furiously blithely busy theodolites. blithely pen
109	Supplier#000000109       	4 63llZBLxtWRa A	21	31-405-311-8656	9202.82	excuses wake furiously after the regular requests. ironic, even packages are quickly: final, final p
110	Supplier#000000110       	ehv9ObpyN0	15	25-824-874-9077	9804.1	blithely final foxes sleep unusual tithes. fu
111	Supplier#000000111       	uv56H9j8cNa4qnflVSYbLNN	4	14-256-573-2660	6578.65	even ideas sleep. slyly bold platelets about the even, regular foxes must have to are 
112	Supplier#000000112       	vdWe5lfgvisRCxdd85DTOZHqAzcuq7f7KKThA	12	22-617-876-1402	4332.95	ironic pinto beans haggle blithely. fluffily ir
113	Supplier#000000113       	5 YOpqbaHs7dR gG4EmXrI7XtA7DcnRMsWPU1z2D	11	21-211-117-1937	1882.05	final, express deposits sleep quickly. carefully regular
114	Supplier#000000114       	Uvz iykaBYOC	20	30-998-334-7841	4559.18	furiously ironic deposits after the blithely bold packages haggle blit
115	Supplier#000000115       	nJ 2t0f7Ve,wL1,6WzGBJLNBUCKlsV	23	33-597-248-1220	9192.1	slyly bold pinto beans boost across the furiously regular packages. carefully regu
116	Supplier#000000116       	gABGPfNYwB 9g1rMYWSAhpo 4	13	23-188-305-1829	5751.39	dependencies nag furiously according to the furiously final packages. patte
117	Supplier#000000117       	ZnlLNC,8YN10T4mjI8eq5bJ	18	28-470-879-3141	4589.18	unusual deposits are dugouts. ironic, even ideas alongside of the furiously regular foxes cajole
118	Supplier#000000118       	BYtvNtFpQAHHoBFWF	0	10-475-868-5521	7317.43	packages are final pinto beans. quickly ironic packages sleep furiously among
119	Supplier#000000119       	4CxBrM0o4yt6LYFxZIyZ89Xnf8LZNn6KcYc	18	28-558-264-1202	2060.13	blithely express theodolites wake furiously within the b
120	Supplier#000000120       	TNxoTw0SiMmQzGfZY9fTSkL2kmtPwvtR2L	7	17-645-761-5674	5575.4	furiously final packages h
121	Supplier#000000121       	CWGri,tKI 7gDcDsI	6	16-275-849-2485	5733.61	thinly ironic deposits integrate quickly. slyly unusual accounts haggle slyly alongsid
122	Supplier#000000122       	2RUSHHspScCVTWC6z vw2XVR	16	26-432-258-4986	2732.95	fluffily silent asymptotes along the accounts ha
123	Supplier#000000123       	IqRn20xsj5ibqAQjb6YNQf0xah	19	29-602-688-1506	5726.19	pinto beans doze slyly among the fluffily final packages. regular dolphins bo
124	Supplier#000000124       	vmVadCZ xHPbQQA2fLxr68T1YhmjVSuRUJKCrcq6	8	18-313-889-3713	-941.38	fluffily pending deposits nag s
125	Supplier#000000125       	XG eO4Xb4TSF7rj4R6WRQ1v2seTlyga3tvFZaC	2	12-419-430-3983	5157.25	quickly final excuses wake furiously against the furiously ex
126	Supplier#000000126       	CaO4YuZ oSkzemn	14	24-728-670-3468	6829.86	carefully pending packages sleep slyly. 
127	Supplier#000000127       	VEqo3HZJ,0ggcaxvqZnW7Rq7l,cPqfKgX2bIRavM	1	11-265-565-1616	2502.95	special, special deposits wake carefully across the even theodolites. slyly even
128	Supplier#000000128       	u,I0ayLPI2HKL	23	33-957-200-2556	1091.04	furiously special accounts detect 
129	Supplier#000000129       	9kWUk5K 7TAR40dW5nVeg i60Fy	15	25-314-164-7014	9001.17	blithely ironic theodolites after the blithely express dependencies nag fluffily
130	Supplier#000000130       	Rnt93MAs0EpPZjPYQIlGOWNUjk	23	33-322-101-6260	8708.17	blithe packages cajole carefully according to the c
131	Supplier#000000131       	u3mTHMgBC0yJTLufr01TuHImgflQUXv	14	24-293-181-3975	1301.2	sometimes final accounts about the carefully pending requests haggle blithely about the 
132	Supplier#000000132       	sU92Jd3aQSbV	5	15-776-909-1326	-812.17	quickly regular accounts are furiously slyly ironic requests. closely bold requests haggle sl
133	Supplier#000000133       	QT,semYwdx	4	14-731-952-5158	9754.6	final, final deposits cajole furiously. fluffily even dolphins nag f
134	Supplier#000000134       	Nv7dxj4FGWrdcP56RmNci	6	16-184-952-7778	-329.16	furiously final theodolites a
135	Supplier#000000135       	F4Uy ZQNU6ESTmO3mrL,mI	7	17-290-812-8855	9767.99	slyly even instructions before the furiously pending deposits boost around the unusual account
136	Supplier#000000136       	SyWVom9ZFrTA6BMAS	8	18-175-739-8397	4623.48	blithely close packages dazzle against the slyly unusual asymptotes. regular, bold cour
137	Supplier#000000137       	j81M1VQCvKcIVnpMnIUnBNVUOm0XYJuJY	18	28-108-440-4890	837.27	silent asymptotes haggle blithely iron
138	Supplier#000000138       	utbplAm g7RmxVfYoNdhcrQGWuzRqPe0qHSwbKw	19	29-533-434-6776	906.07	blithely even deposits in
139	Supplier#000000139       	 2mQLQsVJ8WLBSnl0R bXrcyTgqXKrplgxb	22	32-788-265-2743	2217.93	unusual, special asymptotes sleep slyly across
140	Supplier#000000140       	mdfYYe8U sSb	16	26-379-377-5829	6727.48	carefully regular foxes beyond the gi
141	Supplier#000000141       	5IN1dvjqFhyfKxoslkY3UL7CrNVPCZmq	10	20-557-547-7976	8842.14	bold dolphins haggle fluffily blithely careful depe
142	Supplier#000000142       	HvfHnP57pz0w6l	16	26-302-532-7958	8991.41	requests are fluffily. quick deposits haggle furiously blithely unusual pinto beans. 
143	Supplier#000000143       	a3v,6RZMN9p FzRTdV,fm7ehoVgEhifejGnrNY4H	12	22-916-300-5765	9658.99	sly pinto beans after the foxes boost slyly silent instructions. carefully q
144	Supplier#000000144       	f8tddEKps816HHqNwsKdn3	20	30-726-423-7363	9806.29	even, fluffy somas cajole ironically. even instructions are after the bold deposits. silent ac
145	Supplier#000000145       	pSsVRBOlNKVuvXcjAEKxxy0hD8kA aZf	6	16-136-582-9756	-685.94	regular accounts sleep furiously pending attainments. instructions across the carefully pending 
146	Supplier#000000146       	rBDNgCr04x0sfdzD5,gFOutCiG2	22	32-792-619-3155	8271.39	daringly special accounts boost blithely dependencies. stealthily regular courts promise 
147	Supplier#000000147       	oLdl SQpf,ZXebBw5F3g9	23	33-828-583-6731	8387.76	blithely pending deposits
148	Supplier#000000148       	bkCBZzewuerw8xHv	7	17-648-666-9156	6089.75	quick, final packages along the regular ideas are slyly at the furiously r
149	Supplier#000000149       	pVyWsjOidpHKp4NfKU4yLeym	6	16-660-553-2456	4518.31	quickly close foxes across
150	Supplier#000000150       	kZajmmtJB4g,nNlaHxUvXLfZW0hVtnR35LKA	5	15-169-420-7828	4161.22	furiously pending accounts wake blithely dari
151	Supplier#000000151       	2hd,3OAKPb39IY7 XuptY	22	32-960-568-5148	8561.72	blithely bold packages according to the 
152	Supplier#000000152       	jTZy8PjLJqfLxgHm7,fDoJu7ZMs luO2YmN63	24	34-659-493-1274	3846.6	hockey players use slyly quickly p
153	Supplier#000000153       	qkCHAU1v9CtEBOGXhdFXJsx5L5gViVm5k,	9	19-346-843-5260	850.55	bold braids about the blithely bold instructions boost s
154	Supplier#000000154       	gB51OPlY yleFDn,pnDRbsDqy1gYM,SNRbo	13	23-471-808-2661	4155.67	slyly silent deposits cajole fluffily blithe pinto beans. slyly special ideas across the accounts us
155	Supplier#000000155       	NFoZlgq90N33cC4HbLcfIGb1uqIZy85l42qa6	22	32-417-987-3690	3401.43	furiously even asymptotes are carefully fu
156	Supplier#000000156       	,KXbCcjqZNjmyHzeqaL4	5	15-106-692-4998	9780.74	accounts detect furiously between the deposits. even deposits sleep furi
157	Supplier#000000157       	,mEGorBfVIm	3	13-776-259-5994	-963.19	furiously ironic somas cajole. quickly regular theodol
158	Supplier#000000158       	 fkjbx7,DYi	7	17-873-902-6175	1596.44	ironic, unusual packages against the blithely ironic 
159	Supplier#000000159       	xftQu5vkiD6BF	4	14-606-224-3002	326.36	furiously unusual ideas should integrate across the furiously ironic theodolites. unusual, 
160	Supplier#000000160       	LG6VM3F8MhGnmoZUpyqHgsV0IP6gOagh	4	14-471-505-8811	5067.64	slyly regular ideas along the final warthogs wake slyly f
161	Supplier#000000161       	fsteD4OulIaUNa IPXVesILV	0	10-604-123-7428	7810.78	quickly even platelets doubt. asymptotes boost. bold,
162	Supplier#000000162       	hf2fnryOkI9VjFN8R8i5rRWguXzdlMu3o	9	19-905-888-6020	-170.22	furiously ironic packages are. stealthily final req
163	Supplier#000000163       	1MhydNirC ,cuLIZezbkUxJhAC53ii,B	12	22-980-516-1217	7999.27	furiously ironic accounts us
164	Supplier#000000164       	7H,0hAZkls5qVS 6sjbnVnQtpjMnGEv3gKXVS	2	12-414-446-6598	-264.2	fluffily unusual dolphins wake furiousl
165	Supplier#000000165       	iPso5qCxSnxaNsRe9AU05Vl9hWm5oHIS	14	24-906-333-8640	1550.62	blithely regular foxes use
166	Supplier#000000166       	zCr2Z0hHyLjSz	13	23-117-751-3240	258.33	theodolites cajole quickly final instructions. bold 
167	Supplier#000000167       	FEDldnEfBHVGOmKdFevemmG2	20	30-725-194-1727	5731.87	furiously even deposits haggle permanently enticing packages. regular pinto beans cajole carefully 
168	Supplier#000000168       	NNvNhn6dWzr80Igr	9	19-985-776-2090	6559.35	carefully special deposits mold slowly. furiously pending pinto be
169	Supplier#000000169       	ycymrfB5JV1vU,swPXggAt	13	23-698-509-1073	-927.5	even, ironic packages boost regularly at the carefully unusual inst
170	Supplier#000000170       	RtsXQ,SunkA XHy9	23	33-803-340-5398	7392.78	theodolites use carefully even waters. slyly final instructions after the 
171	Supplier#000000171       	eRpB8T GdtMBvJOo	10	20-229-200-1299	3549.54	carefully pending accounts wake 
172	Supplier#000000172       	NckigAXBRUXbJI	22	32-481-329-1585	2077.39	carefully express instructions boost along the closely pending warthogs. never regular ideas was ca
173	Supplier#000000173       	OqQzF6rfxDvkjpMXVCwGfQzj4oTHBHyW5kC5Gjxd	12	22-640-545-4690	9583.11	unusual, ironic accounts boost furiously i
174	Supplier#000000174       	e1NMjwAq6RdyIKeA	22	32-840-184-9487	-561.5	blithely unusual excuses haggle ironic foxes. carefully ironic accounts against the always ev
175	Supplier#000000175       	Lgv gYbBdu S9	12	22-392-226-3266	9845.98	furiously regular foxes cajole along the fluf
176	Supplier#000000176       	OLVnGuOx8m6NfApzODj4 JP01JJIm,qI53BChmgQ	10	20-970-245-2712	6387.89	furiously even packages against the packages promise around the slyly special packages. silent pa
177	Supplier#000000177       	IUZ 7G x212nzZY5aQS	12	22-246-174-4465	-741.79	blithely even ideas cajole carefully regular, regular accounts? final T
178	Supplier#000000178       	VJ9DInoVjbDg	16	26-471-122-2582	4693.27	ironic ideas wake carefully. ironic packages wake carefully inside the blithely bold accounts. 
179	Supplier#000000179       	d3le3XaTUC	19	29-560-587-5604	7727.83	carefully unusual ideas are furiously slyly regular account
180	Supplier#000000180       	JJzFp5wZcS0KpMLM95tYmq5Pv526UBfT8vrfwBk	7	17-600-237-1665	2753.77	furiously express accounts integrate regular, even accounts. furiously regular pa
181	Supplier#000000181       	7g8adZQXXuHAYdoULLDVKYRtBhdddGqYj7pMzva	14	24-682-737-4806	3665.07	blithely blithe theodolites cajole quickl
182	Supplier#000000182       	KuSXGdsAdYdkhzVLmgo4Xs	7	17-825-333-7344	7872.3	unusual platelets sleep iron
183	Supplier#000000183       	zAAIv68BEXvllrfgsW,i8e	0	10-842-403-7954	-192.51	carefully final forges cajole. ironic theodoli
184	Supplier#000000184       	VTbbcJp9vdqn,tJA5pG5V,596mud6ZdspXgpUWX 	1	11-802-685-1889	7448.53	express deposits print. carefu
185	Supplier#000000185       	F4C0AWRPk3	17	27-586-282-7422	5435.91	furiously regular asymptotes against the blithely special escapades are fluffily express courts
186	Supplier#000000186       	g huGEW5nrQ0Lmd6	1	11-398-253-5445	4397.48	carefully final packages against the slyly final packages doubt blithely along th
187	Supplier#000000187       	oMtyTl6hTyLQhiBwrUaa42zKOjfNobEq	18	28-127-320-9230	8517.04	fluffily regular deposits at t
188	Supplier#000000188       	boP,dP6PjNCADoMv3FaXKRREikgs4J7cYng	20	30-573-811-4001	1020.57	regular, express packages above th
